Mixture	T cells CD8	Monocytes	T cells CD4	NKT cells	B cells	NK cells	P-value	Correlation	RMSE
12-103_3	0.0748244232279609	0.290676474336147	0.457739590874438	0.104537127572329	0.0722223839891242	0	0	0.72723958751245	0.702831047150882
12-104_3	0.07146716281898	0.260516364006974	0.480237783268981	0.0809418728252917	0.106836817079774	0	0	0.745235333375112	0.688697234538022
15-501_3	0.0879133770938481	0.244683365683463	0.483454650254572	0.0847375817880356	0.0992110251800821	0	0	0.73589534641467	0.700968205785216
15-502_3	0.106346175875949	0.388449148460096	0.288481365187808	0.114855316020958	0.10186799445519	0	0	0.75727548869423	0.655906445132943
15-503_3	0.089855844465976	0.357729362754972	0.352004716907512	0.0644879789749928	0.135922096896547	0	0	0.755346212947706	0.658624721312172
15-504_3	0.121188682028502	0.344254913696803	0.365720092358355	0.0988346552263671	0.0700016566899729	0	0	0.735869257297917	0.685136626066666
16-201_3	0.0841093982453902	0.398501514730994	0.297052685170575	0.0877353046471713	0.13260109720587	0	0	0.788056581192048	0.61867764529881
16-202_3	0.0784373434508942	0.295121176009301	0.393287452187211	0.0899606305126723	0.143193397839922	0	0	0.753793843837842	0.667973364690195
16-203_3	0.0933412232649248	0.340713820942778	0.396641963933623	0.044606383993129	0.124696607865545	0	0	0.758915199004664	0.658031514714835
16-204_3	0.109782681983333	0.31215892107897	0.403153313055345	0.0743791030644951	0.100525980817857	0	0	0.755131536089104	0.669589195082335
16-301_3	0.103571973761656	0.112045300366542	0.562585688926015	0.111131046143388	0.110665990802399	0	0	0.735196500406412	0.727025237636763
16-302_3	0.057431050833665	0.185697134863889	0.598772878969645	0.0739438581156389	0.0841550772171623	0	0	0.745496251313304	0.711372908764593
16-303_3	0.177272730746789	0.133363789807452	0.505957057445301	0.0524105080240884	0.13099591397637	0	0	0.619482834856929	0.793005830545223
16-304_3	0.111236168999022	0.187738394723241	0.484767749835976	0.0937409386514003	0.12251674779036	0	0	0.763285503152459	0.687012923980702
16-901_3	0.13101374211587	0.203591198110678	0.390095206676409	0.0791527045723617	0.196147148524681	0	0	0.850874945646507	0.576828842482408
16-902_3	0.0764298205524558	0.361356811858722	0.326802580784786	0.0641161688628778	0.171294617941159	0	0	0.800407554077997	0.604745985230255
16-903_3	0.0979038138005316	0.265982462211194	0.381518894068829	0.0686573563225624	0.185937473596883	0	0	0.808956082069049	0.609333670114517
16-904_3	0.107179729413606	0.190571128168257	0.388973829288778	0.0785408633788694	0.234734449750489	0	0	0.856956223976081	0.558138007872407
